datetime,temperature_C,humidity_percent,pressure_hPa,wind_speed_kmh,wind_direction_deg,precipitation_mm,cloudcover_percent,uv_index,snowfall_mm,is_day,weather_code,weather_condition_label
2019-04-27T00:00,14.1,94.0,1015.1,13.5,209.0,2.5,100.0,,0.0,0,63.0,Umjerena kiša
2019-04-27T01:00,14.0,97.0,1015.0,12.3,175.0,0.7,100.0,,0.0,0,53.0,Umjerena rosulja
2019-04-27T02:00,14.4,97.0,1014.8,11.1,151.0,0.2,100.0,,0.0,0,51.0,Slaba rosulja
2019-04-27T03:00,13.7,99.0,1014.6,7.4,151.0,0.1,49.0,,0.0,0,51.0,Slaba rosulja
2019-04-27T04:00,13.3,97.0,1014.5,5.5,122.0,0.0,31.0,,0.0,0,1.0,Uglavnom vedro
2019-04-27T05:00,12.2,95.0,1014.7,4.5,104.0,0.0,47.0,,0.0,0,1.0,Uglavnom vedro
2019-04-27T06:00,12.8,91.0,1014.4,5.1,86.0,0.0,37.0,,0.0,1,1.0,Uglavnom vedro
2019-04-27T07:00,13.5,89.0,1014.7,4.8,77.0,0.0,15.0,,0.0,1,0.0,Vedro
2019-04-27T08:00,15.0,86.0,1015.0,5.1,225.0,0.0,22.0,,0.0,1,1.0,Uglavnom vedro
2019-04-27T09:00,14.9,86.0,1015.0,6.6,221.0,0.0,42.0,,0.0,1,1.0,Uglavnom vedro
2019-04-27T10:00,14.2,93.0,1016.2,5.4,228.0,1.1,100.0,,0.0,1,55.0,Jaka rosulja
2019-04-27T11:00,13.9,91.0,1016.4,6.9,39.0,0.7,42.0,,0.0,1,53.0,Umjerena rosulja
2019-04-27T12:00,16.2,72.0,1015.4,2.3,198.0,0.1,25.0,,0.0,1,51.0,Slaba rosulja
2019-04-27T13:00,17.4,63.0,1014.8,6.1,225.0,0.0,25.0,,0.0,1,1.0,Uglavnom vedro
2019-04-27T14:00,16.3,69.0,1015.5,8.7,210.0,0.1,57.0,,0.0,1,51.0,Slaba rosulja
2019-04-27T15:00,16.0,70.0,1015.7,6.8,245.0,0.0,72.0,,0.0,1,2.0,Djelomično oblačno
2019-04-27T16:00,15.8,65.0,1015.1,4.2,250.0,0.0,56.0,,0.0,1,2.0,Djelomično oblačno
2019-04-27T17:00,16.5,56.0,1014.4,6.4,243.0,0.0,41.0,,0.0,1,1.0,Uglavnom vedro
2019-04-27T18:00,15.5,64.0,1014.5,6.9,223.0,0.0,5.0,,0.0,1,0.0,Vedro
2019-04-27T19:00,14.8,68.0,1014.7,3.1,216.0,0.0,0.0,,0.0,1,0.0,Vedro
2019-04-27T20:00,14.2,68.0,1015.1,0.8,63.0,0.0,1.0,,0.0,1,0.0,Vedro
2019-04-27T21:00,12.5,79.0,1016.0,1.0,45.0,0.0,0.0,,0.0,0,0.0,Vedro
2019-04-27T22:00,11.9,80.0,1016.4,1.8,53.0,0.0,0.0,,0.0,0,0.0,Vedro
2019-04-27T23:00,11.8,77.0,1016.0,2.1,59.0,0.0,0.0,,0.0,0,0.0,Vedro
2019-04-28T00:00,11.5,77.0,1015.8,2.9,60.0,0.0,0.0,,0.0,0,0.0,Vedro
2019-04-28T01:00,10.8,80.0,1015.2,2.1,59.0,0.0,8.0,,0.0,0,0.0,Vedro
2019-04-28T02:00,10.7,79.0,1015.7,0.5,45.0,0.0,20.0,,0.0,0,1.0,Uglavnom vedro
2019-04-28T03:00,8.7,86.0,1015.3,3.1,54.0,0.0,17.0,,0.0,0,0.0,Vedro
2019-04-28T04:00,8.9,85.0,1015.2,2.3,51.0,0.0,26.0,,0.0,0,1.0,Uglavnom vedro
2019-04-28T05:00,9.4,84.0,1014.8,1.6,63.0,0.0,51.0,,0.0,0,2.0,Djelomično oblačno
2019-04-28T06:00,9.2,85.0,1015.0,1.0,45.0,0.0,86.0,,0.0,1,3.0,Oblačno
2019-04-28T07:00,11.1,81.0,1014.9,3.3,49.0,0.0,98.0,,0.0,1,3.0,Oblačno
2019-04-28T08:00,13.9,80.0,1014.6,2.8,40.0,0.0,98.0,,0.0,1,3.0,Oblačno
2019-04-28T09:00,15.4,65.0,1014.6,1.1,288.0,0.0,100.0,,0.0,1,3.0,Oblačno
2019-04-28T10:00,15.2,68.0,1014.4,2.5,180.0,0.4,96.0,,0.0,1,51.0,Slaba rosulja
2019-04-28T11:00,15.8,70.0,1014.3,6.4,153.0,0.1,59.0,,0.0,1,51.0,Slaba rosulja
2019-04-28T12:00,16.4,68.0,1014.1,8.2,119.0,0.2,62.0,,0.0,1,51.0,Slaba rosulja
2019-04-28T13:00,16.5,65.0,1013.7,10.3,155.0,0.1,93.0,,0.0,1,51.0,Slaba rosulja
2019-04-28T14:00,16.7,65.0,1013.3,5.1,184.0,0.3,83.0,,0.0,1,51.0,Slaba rosulja
2019-04-28T15:00,16.0,72.0,1012.7,7.9,177.0,0.2,95.0,,0.0,1,51.0,Slaba rosulja
2019-04-28T16:00,14.7,78.0,1013.1,5.5,101.0,2.6,98.0,,0.0,1,63.0,Umjerena kiša
2019-04-28T17:00,14.0,88.0,1012.8,6.1,50.0,0.4,100.0,,0.0,1,51.0,Slaba rosulja
2019-04-28T18:00,13.4,89.0,1012.6,5.9,47.0,1.0,100.0,,0.0,1,55.0,Jaka rosulja
2019-04-28T19:00,13.0,90.0,1012.5,5.4,70.0,1.3,100.0,,0.0,1,61.0,Slaba kiša
2019-04-28T20:00,13.0,85.0,1012.6,7.1,60.0,1.6,100.0,,0.0,1,61.0,Slaba kiša
2019-04-28T21:00,12.7,83.0,1012.7,10.6,72.0,1.3,100.0,,0.0,0,61.0,Slaba kiša
2019-04-28T22:00,12.6,79.0,1012.7,13.7,76.0,1.4,100.0,,0.0,0,61.0,Slaba kiša
2019-04-28T23:00,12.1,81.0,1012.4,15.6,67.0,1.8,100.0,,0.0,0,61.0,Slaba kiša
2019-04-29T00:00,12.0,82.0,1012.2,14.0,64.0,0.7,100.0,,0.0,0,53.0,Umjerena rosulja
2019-04-29T01:00,11.4,86.0,1012.2,14.0,46.0,0.9,100.0,,0.0,0,53.0,Umjerena rosulja
2019-04-29T02:00,11.5,78.0,1012.6,21.2,58.0,1.5,99.0,,0.0,0,61.0,Slaba kiša
2019-04-29T03:00,10.8,82.0,1012.2,19.2,62.0,1.2,98.0,,0.0,0,55.0,Jaka rosulja
2019-04-29T04:00,10.1,82.0,1011.8,20.9,58.0,1.0,94.0,,0.0,0,55.0,Jaka rosulja
2019-04-29T05:00,9.5,83.0,1011.7,19.7,50.0,1.1,96.0,,0.0,0,55.0,Jaka rosulja
2019-04-29T06:00,9.3,84.0,1011.8,15.3,51.0,1.3,99.0,,0.0,1,61.0,Slaba kiša
2019-04-29T07:00,9.2,83.0,1012.2,13.7,55.0,1.0,91.0,,0.0,1,55.0,Jaka rosulja
2019-04-29T08:00,9.3,83.0,1012.6,13.9,53.0,0.9,99.0,,0.0,1,53.0,Umjerena rosulja
2019-04-29T09:00,10.7,79.0,1012.7,12.3,40.0,0.6,99.0,,0.0,1,53.0,Umjerena rosulja
2019-04-29T10:00,11.3,75.0,1012.6,11.0,38.0,0.1,100.0,,0.0,1,51.0,Slaba rosulja
2019-04-29T11:00,11.7,71.0,1012.5,9.4,47.0,0.0,100.0,,0.0,1,3.0,Oblačno
2019-04-29T12:00,12.4,68.0,1012.3,10.3,25.0,0.1,100.0,,0.0,1,51.0,Slaba rosulja
2019-04-29T13:00,12.7,66.0,1012.2,12.4,36.0,0.2,100.0,,0.0,1,51.0,Slaba rosulja
2019-04-29T14:00,12.3,71.0,1013.0,10.8,69.0,0.4,100.0,,0.0,1,51.0,Slaba rosulja
2019-04-29T15:00,12.2,73.0,1012.6,11.5,49.0,0.3,100.0,,0.0,1,51.0,Slaba rosulja
2019-04-29T16:00,12.1,76.0,1012.2,12.8,50.0,0.6,100.0,,0.0,1,53.0,Umjerena rosulja
2019-04-29T17:00,11.3,85.0,1012.4,11.2,40.0,0.7,100.0,,0.0,1,53.0,Umjerena rosulja
2019-04-29T18:00,11.0,88.0,1012.7,12.6,53.0,0.6,100.0,,0.0,1,53.0,Umjerena rosulja
2019-04-29T19:00,10.4,85.0,1012.3,11.3,53.0,0.3,100.0,,0.0,1,51.0,Slaba rosulja
2019-04-29T20:00,9.9,86.0,1012.8,6.4,47.0,0.3,100.0,,0.0,1,51.0,Slaba rosulja
2019-04-29T21:00,9.9,85.0,1013.2,7.1,45.0,0.4,100.0,,0.0,0,51.0,Slaba rosulja
2019-04-29T22:00,9.9,85.0,1013.1,6.7,36.0,0.3,99.0,,0.0,0,51.0,Slaba rosulja
2019-04-29T23:00,9.7,88.0,1013.3,4.2,20.0,0.1,96.0,,0.0,0,51.0,Slaba rosulja
2019-04-30T00:00,9.7,87.0,1013.6,4.5,14.0,0.1,100.0,,0.0,0,51.0,Slaba rosulja
2019-04-30T01:00,9.7,88.0,1013.2,4.9,17.0,0.1,100.0,,0.0,0,51.0,Slaba rosulja
2019-04-30T02:00,9.4,86.0,1012.7,5.6,15.0,0.1,100.0,,0.0,0,51.0,Slaba rosulja
2019-04-30T03:00,9.7,85.0,1012.5,4.8,13.0,0.0,100.0,,0.0,0,3.0,Oblačno
2019-04-30T04:00,9.4,87.0,1012.5,3.6,37.0,0.1,100.0,,0.0,0,51.0,Slaba rosulja
2019-04-30T05:00,9.5,88.0,1012.5,4.1,52.0,0.4,97.0,,0.0,0,51.0,Slaba rosulja
2019-04-30T06:00,9.4,89.0,1012.5,4.4,55.0,0.1,86.0,,0.0,1,51.0,Slaba rosulja
2019-04-30T07:00,10.0,88.0,1012.8,5.2,65.0,0.2,93.0,,0.0,1,51.0,Slaba rosulja
2019-04-30T08:00,11.2,85.0,1012.7,3.3,103.0,0.0,31.0,,0.0,1,1.0,Uglavnom vedro
2019-04-30T09:00,12.8,75.0,1012.6,1.9,248.0,0.0,1.0,,0.0,1,0.0,Vedro
2019-04-30T10:00,14.0,74.0,1012.5,3.4,252.0,0.0,26.0,,0.0,1,1.0,Uglavnom vedro
2019-04-30T11:00,14.8,73.0,1012.4,4.7,247.0,0.0,70.0,,0.0,1,2.0,Djelomično oblačno
2019-04-30T12:00,14.6,74.0,1012.3,6.5,267.0,0.8,97.0,,0.0,1,53.0,Umjerena rosulja
2019-04-30T13:00,15.2,71.0,1011.8,6.6,261.0,0.1,97.0,,0.0,1,51.0,Slaba rosulja
2019-04-30T14:00,13.1,75.0,1012.6,3.1,45.0,0.1,97.0,,0.0,1,51.0,Slaba rosulja
2019-04-30T15:00,15.1,66.0,1012.0,1.5,284.0,0.0,99.0,,0.0,1,3.0,Oblačno
2019-04-30T16:00,15.2,66.0,1011.6,2.1,239.0,0.0,98.0,,0.0,1,3.0,Oblačno
2019-04-30T17:00,15.4,66.0,1011.6,2.2,189.0,0.0,95.0,,0.0,1,3.0,Oblačno
2019-04-30T18:00,15.4,69.0,1011.6,2.5,315.0,0.0,97.0,,0.0,1,3.0,Oblačno
2019-04-30T19:00,14.3,77.0,1012.0,10.0,21.0,0.1,99.0,,0.0,1,51.0,Slaba rosulja
2019-04-30T20:00,13.5,75.0,1012.5,11.0,38.0,0.3,100.0,,0.0,1,51.0,Slaba rosulja
2019-04-30T21:00,12.7,76.0,1013.0,8.1,32.0,0.3,99.0,,0.0,0,51.0,Slaba rosulja
2019-04-30T22:00,11.6,85.0,1013.2,5.4,42.0,1.0,100.0,,0.0,0,55.0,Jaka rosulja
2019-04-30T23:00,11.7,86.0,1013.0,4.7,360.0,1.0,100.0,,0.0,0,55.0,Jaka rosulja
2019-05-01T00:00,11.7,86.0,1013.1,5.5,32.0,0.2,90.0,,0.0,0,51.0,Slaba rosulja
